"correct","n1","n2"
1,1,2
1,2,1
0,3,2
1,5,1
1,2,1
1,1,2
1,2,1
1,4,2
1,1,3
1,3,1
0,2,1
1,3,11
1,2,1
1,2,1
0,3,1
1,1,2
1,2,3
1,4,1
1,3,2
1,7,1
1,3,1
0,2,1
1,7,1
0,2,1
0,1,2
1,13,4
1,1,2
1,2,12
1,1,8
1,5,1
0,4,7
1,6,3
0,1,2
1,2,1
1,3,1
1,1,6
1,2,1
1,2,1
1,2,1
0,1,2
1,3,1
1,10,2
0,1,2
1,5,1
0,1,2
1,2,3
1,2,1
1,2,1
1,1,15
1,2,1
0,4,7
1,12,2
0,2,1
1,2,1
1,3,1
1,2,1
0,2,1
1,5,1
1,3,1
1,2,1
1,1,2
1,8,3
1,4,1
1,10,4
1,1,16
1,1,17
1,3,2
1,3,2
1,1,2
1,12,6
1,9,6
1,1,2
1,1,2
1,10,3
1,1,2
1,1,11
1,1,16
1,1,2
1,6,1
1,3,1
1,3,4
1,2,3
1,2,10
1,13,1
1,1,2
1,4,2
0,3,1
0,2,1
1,4,1
1,1,2
0,3,2
1,1,2
1,2,1
0,3,1
1,6,9
0,1,2
1,3,1
1,1,4
1,9,1
1,2,1
1,1,2
1,1,2
1,2,1
1,1,9
0,1,2
1,2,9
0,2,1
1,4,1
1,1,3
1,1,2
1,1,2
1,4,1
0,2,3
1,6,2
0,3,2
0,3,2
1,1,2
1,2,8
1,1,11
1,1,9
1,2,1
0,2,1
1,2,1
1,2,1
0,2,1
1,2,1
1,2,3
0,1,2
1,3,2
1,2,1
1,2,1
1,9,1
1,1,2
1,4,1
1,1,2
0,2,1
1,5,2
1,2,1
1,2,1
1,2,1
1,2,1
1,6,2
1,1,2
1,1,2
0,1,2
0,9,2
0,1,2
1,4,1
1,2,1
1,2,1
1,8,2
0,2,1
1,1,8
1,1,2
1,1,5
1,1,2
1,2,1
1,8,3
1,2,1
1,1,7
1,2,1
1,6,3
0,1,2
1,3,2
0,2,1
1,1,3
1,1,21
1,5,2
1,2,1
0,2,1
1,3,1
1,1,20
1,1,2
0,2,1
0,2,1
0,1,2
1,11,2
1,1,2
1,5,2
1,3,1
1,1,2
1,12,4
1,7,8
0,1,2
1,2,1
1,3,1
1,1,9
1,2,1
1,2,1
1,11,1
1,1,2
1,2,3
1,2,1
1,1,2
0,6,11
0,4,6
0,1,2
1,1,2
1,7,1
1,2,1
1,2,1
0,1,2
1,1,2
1,2,1
1,2,3
0,2,1
1,2,3
1,2,1
1,2,1
1,5,1
1,3,4
1,5,2
1,1,2
1,2,1
1,2,1
0,1,2
1,2,1
0,1,2
1,1,2
0,2,1
0,2,1
0,2,1
1,4,1
1,2,1
0,1,2
1,3,1
1,3,1
1,3,2
1,1,2
1,4,1
1,3,2
0,2,4
1,4,1
1,22,7
0,1,2
1,2,1
1,1,2
0,2,4
1,7,2
0,2,1
1,1,2
1,7,17
1,2,1
1,3,2
0,3,2
1,2,1
1,8,2
0,2,1
1,1,2
1,8,1
1,1,2
1,1,2
1,5,1
1,6,1
1,1,2
1,9,1
1,4,2
1,1,2
1,5,2
1,2,1
1,3,1
1,1,2
0,2,1
1,2,1
1,1,2
1,3,2
1,4,2
0,7,6
1,9,1
1,14,1
1,8,1
1,3,9
1,2,1
1,1,5
1,5,1
1,1,2
1,1,2
0,2,1
1,2,1
1,2,1
1,2,1
1,1,2
1,3,2
1,1,3
0,5,1
0,2,1
1,3,8
1,1,2
0,2,3
1,2,1
1,1,2
0,3,4
1,1,2
1,1,5
1,1,3
1,1,2
1,3,1
1,1,2
1,2,1
1,1,2
1,2,1
1,6,1
1,2,1
0,1,2
1,1,2
1,1,2
1,2,1
1,2,1
1,2,1
1,1,2
1,3,1
0,3,1
0,3,1
1,4,1
0,3,1
1,1,3
1,1,11
1,2,1
1,1,2
1,3,1
1,3,1
0,1,2
1,1,2
1,2,1
1,3,1
1,2,9
0,7,1
1,8,1
1,3,1
0,1,2
1,3,1
1,1,2
1,1,7
1,1,2
1,9,2
1,3,1
1,1,2
1,2,1
1,3,2
1,2,1
0,3,1
1,3,1
1,1,2
1,3,1
1,1,2
0,8,5
1,1,6
1,1,2
1,14,7
1,2,1
1,9,4
0,1,3
1,2,1
0,2,1
0,4,1
0,1,2
1,3,1
1,1,2
1,4,2
1,6,2
1,4,1
1,1,2
1,5,2
1,1,2
0,4,2
0,2,1
1,2,9
1,1,2
1,2,1
1,3,1
1,16,12
0,2,1
0,2,1
1,2,1
0,3,1
0,3,2
1,1,16
1,13,1
1,1,3
1,2,14
1,13,2
0,2,1
1,1,19
1,2,1
1,3,1
1,1,2
1,5,1
1,1,2
1,1,2
0,2,1
1,5,7
0,1,2
1,5,2
1,1,2
1,11,1
1,2,1
1,1,2
1,1,2
1,2,6
0,2,1
0,1,2
1,1,2
1,7,1
0,1,2
1,11,4
1,1,2
1,3,1
1,2,1
1,2,1
1,7,1
1,2,1
0,3,2
1,2,1
1,3,2
0,4,2
1,4,1
1,4,1
1,2,1
1,1,2
0,2,1
1,4,1
1,2,1
1,2,1
1,2,3
1,1,2
0,2,1
0,2,3
1,6,11
0,2,1
1,2,1
1,2,1
1,2,6
0,1,2
1,1,2
0,2,1
1,2,1
0,2,1
1,2,1
1,3,1
1,1,2
1,2,1
1,1,2
1,5,2
0,1,2
1,3,1
0,3,1
1,2,1
1,3,1
1,1,2
1,1,2
1,1,2
1,1,2
1,11,2
0,1,2
1,3,9
0,1,4
1,5,1
0,3,2
1,13,1
1,6,3
1,1,15
1,3,1
1,3,1
1,1,2
1,3,1
1,7,13
1,1,6
1,1,6
1,1,12
1,5,1
1,3,24
1,1,8
1,3,10
1,1,2
1,2,1
1,1,2
0,4,9
0,1,2
1,1,2
0,1,2
1,1,4
1,3,1
1,5,12
1,4,1
1,1,10
1,1,4
1,5,2
1,2,21
0,2,1
0,4,2
1,4,1
1,4,1
1,9,1
1,3,1
1,1,2
0,4,2
1,2,1
0,8,9
1,1,15
1,7,1
1,1,2
1,1,2
1,7,3
1,1,2
1,1,11
1,1,8
1,3,9
1,1,2
1,2,4
1,3,1
1,1,6
1,5,1
1,11,4
1,2,1
1,2,1
1,7,1
1,16,1
1,1,13
1,2,1
1,9,1
1,1,2
1,2,4
1,7,4
1,2,1
1,1,2
1,9,1
0,2,1
1,6,1
1,11,1
1,2,13
1,1,17
0,5,2
0,6,4
0,2,1
0,2,1
0,2,1
0,2,1
1,1,4
1,2,1
1,2,1
1,9,1
1,2,1
1,8,1
1,1,4
0,2,1
1,4,1
1,4,3
1,8,5
1,1,15
1,13,1
1,1,2
1,1,5
1,1,2
0,2,1
0,2,1
1,1,13
1,9,1
1,1,2
1,2,1
1,1,12
1,2,1
0,2,1
1,5,2
1,3,1
1,2,1
0,5,6
0,2,1
1,1,2
0,1,2
1,4,1
1,1,2
1,1,3
0,4,1
1,3,1
1,5,7
0,4,3
0,2,1
1,3,1
1,8,5
1,1,2
1,3,1
1,1,5
1,1,2
1,1,15
1,2,9
1,1,2
0,1,2
1,2,1
1,3,1
0,1,2
1,1,2
1,1,2
1,3,1
0,2,1
1,2,1
1,4,11
0,2,1
1,4,1
1,1,4
1,2,1
1,1,3
1,2,1
1,3,1
1,1,2
1,3,1
0,6,3
1,3,1
1,3,1
1,3,2
1,1,2
1,1,2
1,3,2
0,2,1
1,6,4
1,1,10
1,2,1
1,3,1
1,10,3
1,3,1
1,1,13
0,3,2
1,3,7
1,13,1
1,2,1
1,1,8
1,6,9
1,4,18
1,2,1
0,2,1
1,1,2
0,3,1
1,5,12
1,1,4
1,1,7
1,5,4
0,2,1
1,1,8
1,4,1
1,13,1
1,4,1
1,1,2
0,10,2
1,3,1
1,2,4
1,4,1
0,2,1
1,6,1
0,1,2
1,1,16
0,1,4
1,2,9
1,1,2
0,1,2
1,1,20
1,1,2
1,2,1
1,6,1
1,2,1
1,11,5
1,2,1
1,4,5
0,2,1
1,13,1
1,2,1
1,5,1
0,2,1
0,2,1
0,1,2
1,1,2
0,2,7
1,5,1
1,1,2
0,10,8
1,3,5
1,2,1
1,7,9
1,1,10
1,1,2
1,1,10
1,11,3
1,1,13
1,2,1
1,4,2
1,1,2
0,2,6
1,2,1
0,2,1
1,1,2
0,1,3
1,10,4
1,5,2
1,4,6
1,2,10
0,1,2
1,2,1
1,1,11
1,2,1
1,3,6
1,3,1
1,3,1
1,2,1
1,2,1
0,1,2
1,2,1
1,14,2
1,3,2
0,1,2
1,1,2
1,2,1
0,1,2
1,2,1
1,2,3
1,1,2
1,1,2
1,11,3
1,2,1
1,3,1
1,1,2
1,2,1
1,2,1
1,1,2
1,3,1
1,2,1
1,2,1
1,1,2
1,2,1
0,1,4
1,1,17
1,2,6
0,2,5
1,1,2
0,3,4
1,1,4
1,1,5
0,2,13
0,2,1
0,1,2
0,1,2
1,4,1
1,6,7
1,2,1
0,3,9
1,1,2
0,2,3
0,1,2
1,1,2
1,11,1
1,8,3
0,3,1
1,3,1
0,2,8
1,2,1
0,1,2
0,3,14
1,2,16
1,2,1
1,1,2
0,2,1
1,1,3
1,2,1
1,1,2
0,3,4
1,13,6
1,4,2
1,1,2
1,8,3
0,2,1
1,4,1
0,2,1
0,6,4
1,4,2
1,3,4
0,4,3
1,1,2
1,1,2
1,3,1
1,3,2
1,1,2
1,2,1
0,2,1
1,5,1
1,2,1
0,1,2
1,11,1
1,2,1
1,14,1
1,2,1
1,3,1
1,1,4
1,1,12
1,2,1
0,2,3
1,1,3
1,3,6
1,3,7
1,5,1
1,4,1
0,2,1
1,2,3
1,3,2
1,2,1
1,2,1
1,13,5
0,2,1
0,1,2
1,1,2
1,1,2
0,1,2
1,4,1
1,9,1
0,2,1
1,3,1
1,3,1
0,1,2
1,1,12
1,1,2
1,1,2
1,1,2
1,2,1
1,3,2
0,3,2
1,1,2
1,2,1
0,1,2
0,1,2
1,6,1
1,4,2
1,1,2
1,7,2
1,1,2
0,1,2
1,1,2
1,2,1
1,20,5
1,3,1
1,1,9
0,3,1
1,1,2
1,2,1
1,6,2
1,2,1
0,2,1
1,1,2
1,1,4
1,5,4
1,16,1
1,3,1
1,12,2
1,1,2
1,2,13
1,1,2
0,3,2
1,4,2
1,2,9
1,1,9
1,3,1
1,3,1
1,6,16
1,3,1
0,2,1
1,4,1
1,1,2
1,11,1
1,1,14
1,1,2
1,1,3
1,4,5
1,2,1
1,4,1
0,1,2
1,2,1
1,6,3
1,5,1
1,2,1
1,2,1
1,11,1
1,2,1
0,2,1
1,1,2
1,9,3
1,9,6
1,1,2
1,4,5
1,1,2
1,2,11
1,1,2
1,1,2
0,3,4
0,3,2
0,2,1
1,3,2
0,2,1
1,11,6
1,11,1
1,2,1
0,2,1
1,2,3
1,2,1
1,6,1
0,3,18
1,1,12
1,3,1
1,2,1
1,5,1
1,1,2
1,2,1
0,7,5
0,7,6
1,3,1
1,1,2
1,2,1
1,2,1
0,1,2
1,8,6
1,2,1
1,2,1
1,1,2
1,1,2
0,3,1
1,3,1
1,2,1
0,2,1
1,1,2
1,3,1
1,5,1
1,14,7
1,4,1
0,2,3
1,1,2
1,2,1
1,1,2
1,5,2
1,1,2
1,1,5
1,1,2
0,1,2
1,1,2
1,2,1
0,2,1
1,5,2
1,3,1
1,1,2
1,9,1
0,3,2
1,2,1
1,9,2
1,1,2
1,1,2
0,3,1
1,1,2
1,3,2
1,12,2
1,1,2
1,1,2
1,1,2
0,1,2
1,3,2
1,3,1
1,1,2
0,2,1
1,1,2
0,1,2
1,1,2
1,2,1
1,11,1
1,2,1
1,3,1
1,2,1
1,1,2
1,2,1
0,2,1
0,2,1
1,2,1
1,1,2
1,2,1
0,4,2
0,3,1
0,7,3
0,1,2
1,10,3
0,2,1
1,4,1
1,1,2
1,6,2
0,2,1
0,1,2
1,2,1
0,2,1
0,2,1
0,2,1
1,1,2
1,1,8
1,3,1
1,1,2
1,1,2
1,1,2
0,3,5
1,2,1
0,1,2
1,2,1
1,1,2
1,2,8
1,2,1
1,1,12
1,1,10
1,9,1
1,1,2
1,8,1
0,2,1
0,1,2
0,3,7
1,3,1
1,2,4
1,1,14
0,2,1
1,2,1
0,2,1
1,1,5
1,11,2
1,1,6
1,6,1
1,2,1
1,2,1
0,2,1
1,1,2
1,1,11
1,2,1
1,1,2
0,2,1
1,7,4
1,4,1
1,4,12
1,7,1
1,5,3
1,3,1
1,1,2
0,9,10
1,6,1
1,1,2
1,1,13
0,5,2
1,3,1
1,3,1
1,4,1
0,1,2
1,1,2
1,5,7
1,1,2
0,2,1
0,1,2
1,1,2
1,3,1
1,2,1
1,2,1
1,3,26
1,1,8
1,10,1
1,1,12
1,4,3
1,4,1
1,1,2
1,2,9
1,2,1
1,2,1
0,1,2
1,2,1
0,1,2
0,8,4
1,3,1
0,1,2
0,2,1
1,1,2
1,2,1
1,1,2
1,10,7
0,2,3
1,4,3
1,3,1
0,1,2
1,1,2
0,2,1
1,14,7
1,7,2
1,11,1
1,1,2
0,3,6
1,3,9
1,1,2
1,2,11
1,1,2
0,1,2
0,3,1
0,2,1
1,1,2
1,4,1
1,2,3
1,2,10
1,1,4
1,3,1
1,8,2
0,3,1
1,1,2
1,1,2
1,2,9
1,1,2
1,1,2
1,13,1
0,1,2
1,1,2
1,2,1
0,4,2
1,2,1
1,1,12
1,2,1
1,1,2
0,3,1
1,3,12
1,1,2
1,13,1
1,2,1
1,1,2
1,1,2
1,4,1
0,2,1
0,9,5
1,3,1
1,1,18
1,2,1
1,5,2
0,2,1
1,12,1
1,16,2
0,2,1
1,1,13
1,7,2
1,2,1
0,1,2
1,4,2
1,13,1
1,1,2
1,7,2
1,3,1
1,2,1
0,1,2
1,6,2
1,3,1
1,1,2
1,5,4
0,1,2
0,2,1
0,1,2
1,1,8
1,3,2
1,7,1
1,2,12
1,2,1
0,2,10
1,1,3
1,1,13
1,2,1
1,1,12
1,2,1
0,2,1
1,5,1
0,1,2
0,3,1
0,1,2
1,13,1
1,4,1
0,3,1
1,3,1
1,4,2
1,1,2
1,17,1
1,19,6
1,3,2
1,6,1
1,3,4
0,2,1
1,1,2
1,1,2
1,8,2
1,6,2
0,2,1
0,4,3
1,4,2
1,1,2
1,2,1
1,1,12
1,1,2
1,2,5
1,5,1
1,1,2
0,2,1
1,3,1
1,3,2
1,4,9
1,2,1
0,2,1
1,5,2
1,2,1
0,16,5
0,4,1
1,2,1
1,1,14
1,2,1
0,1,2
0,2,1
1,1,2
1,3,1
1,1,3
1,7,3
1,2,1
1,1,12
1,1,2
1,2,1
1,7,1
1,4,1
0,3,1
1,4,2
1,1,2
1,1,4
0,14,3
1,2,1
1,2,3
